1/1/26,SPEAKER,SERMON TITLE,"SERMON
HYMNS",HYMNLEADER HYMNS
"Dear Speaker:
After reading the Bible verses, please have the interpreter read the verses as well. Thank you!
請講道人員唸完經節後再請翻譯人員也把經節唸出來。謝謝！",,,,
MONDAYS,,,,
1/5/2026,#N/A,新春三願 New Year's Three Wishes,"311, 502","9, 326, 162 "
1/12/2026,"Matthew Shih 
施維庭","約西亞行神眼中看為正的事
Josiah Did Good in the Eyes of the Lord","244, 126",
1/19/2026,"C. H. Chou 
周俊宏","約伯記導讀
Introduction to the Book of Job","24, 264","23 (1-4), 25, 26 (1-3), 34"
1/26/2026,"C. H. Chou 
周俊宏","在教會中做個好信徒 
Be a Good Member in the church.
","282, 496","356,146(1-4),281"
2/2/2026,"Anthony Tsai 
蔡德偉",What is Your Hope? 什麼是你的盼望?,"36, 376","300, 141, 156, 99"
2/9/2026,"Anthony Chang 
張國彥",來見耶穌 Come to Jesus,"354, 406","348, 170, 83"
2/16/2026,"Ephraim Liu
劉時銘",繫上為記號 Tie them as a Sign,"364, 64","122 ,83, 252, 309"
2/23/2026,"Janice Chang 
張霈安","從以色列民學習感恩的教訓
Lessons from the Israelites in Gratitude","144, 436","177, 356, 400"
3/2/2026,"Matthew Shih 
施維庭",以色列的第一位王 First King of Israel,"239, 355","356, 138, 126"
3/9/2026,"Jordan Shen 
沈嘉銘",坐滿我的房子 My House Will Be Filled ,"277, 275","120, 99, 519"
3/16/2026,"C. H. Chou 
周俊宏",在教會中做個好的信徒 Be a good Member in the church,"126, 127","336, 166, 287"
3/23/2026,"C. H. Chou 
周俊宏","要盡力與眾人和睦
Live Peaceably with All Men","216, 492","58, 196, 281"
3/30/2026,"C. H. Chou 
周俊宏","因為愛人的，就完全了律法
For whoever loves others has fulfilled the law","122, 126","97, 367, 485"
,,,,
FRIDAYS,,,,
1/2/2026,"Paul Chen 
陳殿晃",瑪拉基書-導讀The Book of Malachi – Introduction,"179, 43","379,380,126"
1/9/2026,"Jordan Shen 
沈嘉銘",新年的祝福 New Year Blessings,"152, 155, ","355, 328, 381"
1/16/2026,"Jessica Chen 
陳婕",A Church in Our Home 我們家的教會,"282, 300",
